Title	URL	Abstract views	PDF views	Original submission	Current submission
Selective maintenance mechanisms of seen and unseen sensory features in the human brain	http://biorxiv.org/content/early/2016/02/18/040030	347	290	2016_02_18	2016_02_18
Bimodal occupancy-frequency distributions uncover the importance of regional dynamics in shaping marine microbial biogeography	http://biorxiv.org/content/early/2016/02/18/039883	295	203	2016_02_18	2016_02_18
A Family of Interaction-Adjusted Indices of Community Similarity	http://biorxiv.org/content/early/2016/02/18/040097	223	80	2016_02_18	2016_02_18
Plant diversity accurately predicts insect diversity in two tropical landscapes	http://biorxiv.org/content/early/2016/02/18/040105	201	102	2016_02_18	2016_02_18
Combating Chagas Disease Through Inhibition of Tiam1, a Rho GTPase Guanine Nucleotide Exchange Factor	http://biorxiv.org/content/early/2016/02/18/040121	501	30	2016_02_18	2016_02_18
Working with Zika and Usutu Viruses in Vitro	http://biorxiv.org/content/early/2016/02/18/040139	257	227	2016_02_18	2016_02_18
Exploiting single-cell quantitative data to map genetic variants having probabilistic effects	http://biorxiv.org/content/early/2016/02/18/040113	590	87	2016_02_18	2016_02_18
Semi-Supervised Learning of the Electronic Health Record with Denoising Autoencoders for Phenotype Stratification	http://biorxiv.org/content/early/2016/02/18/039800	753	70	2016_02_18	2016_02_18
Shared molecular neuropathology across major psychiatric disorders parallels polygenic overlap	http://biorxiv.org/content/early/2016/02/18/040022	362	93	2016_02_18	2016_02_18
Basset: Learning the regulatory code of the accessible genome with deep convolutional neural networks.	http://biorxiv.org/content/early/2016/02/18/028399	4209	882	2015_10_5	2016_02_18
Succinct Colored de Bruijn Graphs	http://biorxiv.org/content/early/2016/02/18/040071	768	253	2016_02_18	2016_02_18
Targeted Deletion of Vitamin D receptor Gene in Mammalian Cells by CRISPR/Cas9 Systems	http://biorxiv.org/content/early/2016/02/18/040147	342	35	2016_02_18	2016_02_18
Osteosarcoma with apparent Ewing sarcoma gene rearrangement	http://biorxiv.org/content/early/2016/02/18/039834	250	53	2016_02_17	2016_02_18
Local joint testing improves power and identifies missing heritability in association studies	http://biorxiv.org/content/early/2016/02/18/040089	340	112	2016_02_18	2016_02_18
Inducible colistin resistance via a disrupted plasmid-borne mcr-1 gene in a 2008 Vietnamese Shigella sonnei isolate	http://biorxiv.org/content/early/2016/02/18/039925	489	107	2016_02_18	2016_02_18
A fractional order network model for ZIKA	http://biorxiv.org/content/early/2016/02/18/039917	270	79	2016_02_18	2016_02_18
Into the tropics: phylogenomics and evolutionary dynamics of a contrarian clade of ants	http://biorxiv.org/content/early/2016/02/18/039966	479	112	2016_02_18	2016_02_18
Transcriptome Analysis of Cortical Tissue Reveals Shared Sets of Down-Regulated Genes in Autism and Schizophrenia	http://biorxiv.org/content/early/2016/02/18/029132	240	38	2015_10_14	2016_02_18
Establishing evidenced-based best practice for the de novo assembly and evaluation of transcriptomes from non-model organisms	http://biorxiv.org/content/early/2016/02/18/035642	706	104	2015_12_30	2016_02_18
Natural variation in hyperosmotic stress responses of budding yeast	http://biorxiv.org/content/early/2016/02/18/039982-0	204	62	2016_02_18	2016_02_18
Evolutionary inference across eukaryotes identifies specific pressures favoring mitochondrial gene retention	http://biorxiv.org/content/early/2016/02/18/037960	355	47	2016_01_26	2016_02_18
A Central Limit Theorem for Punctuated Equilibrium	http://biorxiv.org/content/early/2016/02/18/039867	242	46	2016_02_18	2016_02_18
Intelligence and neuroticism in relation to depression and psychological distress: evidence of interaction using data from Generation Scotland: Scottish Family Health Study and UK Biobank	http://biorxiv.org/content/early/2016/02/18/039545	962	199	2016_02_12	2016_02_18
Microbial contributions to subterranean methane sinks	http://biorxiv.org/content/early/2016/02/17/034801	326	31	2015_12_20	2016_02_17
Response to Commentary on "Limitations of GCTA as a solution to the missing heritability problem"	http://biorxiv.org/content/early/2016/02/17/039594	1729	476	2016_02_13	2016_02_17
Natural scene movie responses are more precise, reliable & sparse in synchronized than desynchronized cat V1	http://biorxiv.org/content/early/2016/02/17/031765	190	59	2015_11_14	2016_02_17
Towards a study of gene regulatory constraints to morphological evolution of the Drosophila ocellar region	http://biorxiv.org/content/early/2016/02/17/031948	359	63	2015_11_16	2016_02_17
Rapid quantitative pharmacodynamic imaging with Bayesian estimation	http://biorxiv.org/content/early/2016/02/17/017921	120	51	2015_04_13	2016_02_17
Rapid quantitative pharmacodynamic imaging with Bayesian estimation	http://biorxiv.org/content/early/2016/02/17/017921	120	51	2015_04_13	2016_02_17
After the games are over: life-history trade-offs drive dispersal attenuation following range expansion	http://biorxiv.org/content/early/2016/02/17/014852	230	63	2015_02_4	2016_02_17
CELL SEGMENTATION WITH RANDOM FERNS AND GRAPH-CUTS	http://biorxiv.org/content/early/2016/02/17/039958	186	52	2016_02_17	2016_02_17
MetaPalette: A K-mer painting approach for metagenomic taxonomic profiling and quantification of novel strain variation	http://biorxiv.org/content/early/2016/02/17/039909	1615	403	2016_02_17	2016_02_17
Validation of a habitat suitability index for oyster restoration	http://biorxiv.org/content/early/2016/02/17/039875	247	105	2016_02_17	2016_02_17
DNA Methylation profiles of diverse Brachypodium distachyon aligns with underlying genetic diversity	http://biorxiv.org/content/early/2016/02/17/039602	423	69	2016_02_17	2016_02_17
A tradeoff between the ecological and evolutionary stabilities of public goods genes in microbial populations	http://biorxiv.org/content/early/2016/02/15/039784	854	492	2016_02_15	2016_02_15
Contents of Consciousness Investigated as Integrated Information in Direct Human Brain Recordings	http://biorxiv.org/content/early/2016/02/15/039032	1277	275	2016_02_15	2016_02_15
Genome-wide histone modification patterns in Kluyveromyces Lactis reveal evolutionary adaptation of a heterochromatin-associated mark	http://biorxiv.org/content/early/2016/02/15/039776	652	93	2016_02_15	2016_02_15
Two-Dimensional NMR Lineshape Analysis	http://biorxiv.org/content/early/2016/02/15/039735	262	58	2016_02_15	2016_02_15
The infinitesimal model	http://biorxiv.org/content/early/2016/02/15/039768	490	198	2016_02_15	2016_02_15
Infection avoidance behaviour in adult fruit flies is sex-specific and depends on prior exposure to a viral pathogen	http://biorxiv.org/content/early/2016/02/15/039750	375	48	2016_02_15	2016_02_15
Rules of tissue packing involving different cell types: human muscle organization	http://biorxiv.org/content/early/2016/02/15/038968	369	48	2016_02_12	2016_02_15
Craniofacial shape transition across the house mouse hybrid zone: implications for the genetic architecture and evolution of between-species differences	http://biorxiv.org/content/early/2016/02/15/039743	353	67	2016_02_15	2016_02_15
annotatr: Associating genomic regions with genomic annotations	http://biorxiv.org/content/early/2016/02/15/039685	897	137	2016_02_15	2016_02_15
The hidden complexity of Mendelian traits across yeast natural populations	http://biorxiv.org/content/early/2016/02/15/039693	960	168	2016_02_15	2016_02_15
Context-specificity in causal signaling networks revealed by phosphoprotein profiling	http://biorxiv.org/content/early/2016/02/15/039636	286	94	2016_02_15	2016_02_15
Admixture into and within sub-Saharan Africa	http://biorxiv.org/content/early/2016/02/15/038406	2167	1313	2016_02_1	2016_02_15
Unraveling the mechanism of proton translocation in the extracellular half-channel of bacteriorhodopsin	http://biorxiv.org/content/early/2016/02/15/031609	135	40	2015_12_30	2016_02_15
Chromosome-Wide Characterization of Y-STR Mutation Rates	http://biorxiv.org/content/early/2016/02/14/036590	697	389	2016_01_15	2016_02_14
Triclosan Exposure is Associated with Rapid Restructuring of the Microbiome in Adult Zebrafish	http://biorxiv.org/content/early/2016/02/14/039669	559	92	2016_02_14	2016_02_14
Strongly asymmetric hybridization barriers shape the origin of a new polyploid species and its hybrid ancestor	http://biorxiv.org/content/early/2016/02/13/030932	634	91	2015_11_7	2016_02_13
A practical guide for improving transparency and reproducibility in neuroimaging research	http://biorxiv.org/content/early/2016/02/12/039354	1514	444	2016_02_12	2016_02_12
Biocompatibility of Subcutaneously Implanted Plant-Derived Cellulose Biomaterials	http://biorxiv.org/content/early/2016/02/12/039644	329	129	2016_02_12	2016_02_12
Model-based projections of Zika virus infections in childbearing women in the Americas	http://biorxiv.org/content/early/2016/02/12/039610	2326	1823	2016_02_12	2016_02_12
The divisible load balance problem with shared cost and its application to phylogenetic inference	http://biorxiv.org/content/early/2016/02/12/035840	619	79	2016_01_5	2016_02_12
DNA from dust: the first field-isolated genomes of MDV-1, from virions in poultry dust and chicken feather follicles	http://biorxiv.org/content/early/2016/02/12/039479	174	61	2016_02_12	2016_02_12
phASER: Long range phasing and haplotypic expression from RNA sequencing	http://biorxiv.org/content/early/2016/02/12/039529	1572	342	2016_02_12	2016_02_12
Best Practices in Docking and Activity Prediction	http://biorxiv.org/content/early/2016/02/12/039446	137	49	2016_02_12	2016_02_12
Quantitative proteome-based guidelines for intrinsic disorder characterization	http://biorxiv.org/content/early/2016/02/11/032847	181	19	2016_01_20	2016_02_11
Social selection maintains honesty of a dynamic visual signal in cichlid fish	http://biorxiv.org/content/early/2016/02/11/039552	389	78	2016_02_11	2016_02_11
A novel meiotic drive in Neurospora crosses heterozygous for hybrid translocation strains disfavors homokaryotic progeny derived from alternate, but not adjacent-1 segregation.	http://biorxiv.org/content/early/2016/02/11/039487	165	18	2016_02_11	2016_02_11
Intriguing desnity dependence but problematic birth rates in greaver et al.'s study of a black rhinoeros population.	http://biorxiv.org/content/early/2016/02/11/039453	198	23	2016_02_11	2016_02_11
Detecting Horizontal Gene Transfer by Mapping Sequencing Reads Across Species Boundaries	http://biorxiv.org/content/early/2016/02/11/039495	1369	192	2016_02_11	2016_02_11
Tagmentation-Based Mapping (TagMap) of Mobile DNA Genomic Insertion Sites	http://biorxiv.org/content/early/2016/02/11/037762	995	78	2016_02_2	2016_02_11
Using heterogeneity in the population structure of U.S. swine farms to compare transmission models for porcine epidemic diarrhoea	http://biorxiv.org/content/early/2016/02/11/017178	146	14	2015_09_26	2016_02_11
Systematic Functional Annotation and Visualization of Biological Networks	http://biorxiv.org/content/early/2016/02/11/030551	901	270	2015_11_3	2016_02_11
Transmission dynamics of Zika virus in island populations: a modelling analysis of the 2013-14 French Polynesia outbreak	http://biorxiv.org/content/early/2016/02/11/038588	2283	909	2016_02_10	2016_02_11
Large-scale analysis of genome and transcriptome alterations in multiple tumors unveils novel cancer-relevant splicing networks	http://biorxiv.org/content/early/2016/02/11/023010	1022	296	2015_08_2	2016_02_11
Analysis of Two-State Folding Using Parabolic Approximation IV: Non-Arrhenius Kinetics of FBP28 WW Part-II	http://biorxiv.org/content/early/2016/02/10/039362	188	20	2016_02_10	2016_02_10
Inter- and intra-individual differences in fluid reasoning show distinct cortical responses	http://biorxiv.org/content/early/2016/02/10/039412	610	78	2016_02_10	2016_02_10
Disentangling incomplete lineage sorting and introgression to refine species-tree estimates for Lake Tanganyika cichlid fishes	http://biorxiv.org/content/early/2016/02/10/039396	528	178	2016_02_10	2016_02_10
No evidence for the positive relationship between genetic correlations and heritabilities	http://biorxiv.org/content/early/2016/02/10/039388	450	92	2016_02_10	2016_02_10
Detailed temporal structure of communication networks in groups of songbirds	http://biorxiv.org/content/early/2016/02/10/039370	338	51	2016_02_10	2016_02_10
Network structural features affect stability of Calvin Bassham Benson (CBB) pathway in plants	http://biorxiv.org/content/early/2016/02/10/034637	198	54	2016_01_4	2016_02_10
Integrating regulatory information via combinatorial control of the transcription cycle	http://biorxiv.org/content/early/2016/02/10/039339-0	1321	318	2016_02_10	2016_02_10
